Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic,Average Age,Average Income,Average Number of Children Per Household,Percent of Youth
RICHMOND ST W and PETER ST,M5V 2H3,9004,7477,34.2,45581,0.990990991,5.1
RICHMOND ST W and JOHN ST,M5V 2E4,8435,14291,34.2,45581,0.990990991,5.1
ADELAIDE ST W and PETER ST,M5V 1P8,10387,9463,34.2,45581,0.990990991,5.1
BLOOR ST W and ST GEORGE ST,M5S 1W7,12249,20185,39,26269,1.028423773,5.6
SPADINA AVE and FRONT ST W,M5V 2A4,19268,4619,34.2,45581,0.990990991,5.1
SPADINA AVE and KING ST W,M5V,17090,14705,34.2,45581,0.990990991,5.1
SPADINA AVE and ADELAIDE ST W,M5T 0A1,16256,7818,40.3,19920,1.240282686,7.4
SPADINA AVE and RICHMOND ST W,M5T 0A1,14558,9693,40.3,19920,1.240282686,7.4
SPADINA AVE and QUEEN ST W,M5V,15709,19460,34.2,45581,0.990990991,5.1
SPADINA AVE and DUNDAS ST W,M5T 1H2,11107,26960,40.3,19920,1.240282686,7.4
SPADINA AVE and NASSAU ST,M5T,6586,7440,40.3,19920,1.240282686,7.4
SPADINA AVE and COLLEGE ST,M5T,14353,10810,40.3,19920,1.240282686,7.4
SPADINA AVE and HARBORD ST,M5S,17579,7679,39,26269,1.028423773,5.6
BLOOR ST W and SPADINA AVE,M5T 0A1,16003,16470,40.3,19920,1.240282686,7.4
BAYVIEW AVE and ROSEDALE VALLEY RD,M4W,17633,3,45.3,49760,1.045380875,10.6
DUNDAS ST E and COXWELL AVE,M4L 3A7,11544,1007,38.9,35864,1.110366168,18
DUNDAS ST E and WOODFIELD RD,M4L 2W6,8142,834,38.9,35864,1.110366168,18
DUNDAS ST E and GREENWOOD AVE,M4L 2P6,11219,1168,38.9,35864,1.110366168,18
